,Player_Name,Stats_Span,Matches_Played,Batting_Innings,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Batting_SR,Hundreds_Scored,Fifties_Scored,Ducks,Bowling_Innings,Balls_Bowled,Maidens,Runs_Given,Wickets_Taken,Best_Figures,Bowling_Average,Economy,Bowling_SR,Five_Wicket_Haul,Ten_Wicket_Haul,Catches_Taken,Stumps
725,Mohameed Taiwo,2024-2024,7,6,5,38,19*,38.00,88.37,0,0,0,7,128,0,140,6,3/23,23.33,6.56,21.3,0,0,5,0
726,Mohammad Ahnaff,2024-2024,4,4,0,86,32,21.50,116.21,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
727,Mohammad Amin,2024-2024,2,2,0,23,13,11.50,88.46,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
728,Mohammad Amir,2024-2024,12,3,2,6,5,6.00,150.00,0,0,0,11,242,1,295,12,2/11,24.58,7.31,20.1,0,0,6,0
729,Mohammad Atif,2024-2024,5,1,0,1,1,1.00,50.00,0,0,0,5,120,0,117,5,2/13,23.40,5.85,24.0,0,0,4,0
730,Mohammad Ghazanfar,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
731,Mohammad Ihsan,2024-2024,11,11,1,295,57,29.50,154.45,0,1,0,0,0,0,0,0,0,0.00,0,0,0,0,5,1
732,Mohammad Ishaq,2024-2024,4,4,1,75,32,25.00,141.50,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,1,0
733,Mohammad Nabi,2024-2024,18,18,4,289,59,20.64,120.92,0,1,2,15,198,0,254,8,2/16,31.75,7.69,24.7,0,0,12,0
734,Mohammad Nadeem,2024-2024,8,6,1,54,30,10.80,105.88,0,0,0,6,78,0,116,4,2/16,29.00,8.92,19.5,0,0,1,0
735,Mohammad Nawaz,2024-2024,3,3,1,50,28,25.00,178.57,0,0,0,3,72,0,103,3,2/18,34.33,8.58,24.0,0,0,2,0
736,Mohammad Rizwan,2024-2024,19,18,5,532,90*,40.92,117.96,0,4,2,0,0,0,0,0,0,0.00,0,0,0,0,11,0
737,Mohammad Saifuddin,2024-2024,4,1,1,6,6*,0.00,150.00,0,0,0,4,96,0,149,8,3/15,18.62,9.31,12.0,0,0,2,0
738,Mohammad Saleem,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,18,0,43,0,0,0.00,14.33,0,0,0,0,0
739,Mohammad Wasim,2024-2024,2,1,1,1,1*,0.00,33.33,0,0,0,2,42,0,59,1,1/35,59.00,8.42,42.0,0,0,1,0
740,Mohammad Yasin,2024-2024,6,6,0,73,34,12.16,100.00,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,1,0
741,Mohammed Alamgir,2024-2024,5,5,3,80,33,40.00,100.00,0,0,0,4,35,0,64,4,2/12,16.00,10.97,8.7,0,0,0,0
742,Mohammed Irshad,2024-2024,3,3,0,33,22,11.00,165.00,0,0,0,2,15,0,29,0,0,0.00,11.60,0,0,0,2,0
743,Mohammed Siraj,2024-2024,6,2,1,7,7*,7.00,87.50,0,0,1,6,120,0,118,2,1/13,59.00,5.90,60.0,0,0,2,0
744,Muhamad Syahadat,2024-2024,7,7,4,56,27*,18.66,62.92,0,0,0,1,5,0,6,0,0,0.00,7.20,0,0,0,1,0
745,Muhammad Amir,2024-2024,18,16,2,186,30,13.28,96.87,0,0,1,12,215,2,246,13,3/20,18.92,6.86,16.5,0,0,7,0
746,Muhammad Babar,2024-2024,2,2,0,61,46,30.50,174.28,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
747,Muhammad Burhan,2024-2024,4,3,0,15,7,5.00,78.94,0,0,0,4,90,0,99,7,4/25,14.14,6.60,12.8,0,0,2,0
748,Muhammad Farooq,2024-2024,8,1,0,18,18,18.00,138.46,0,0,0,8,168,0,214,9,2/14,23.77,7.64,18.6,0,0,2,0
749,Muhammad Jabir,2024-2024,4,2,1,0,0*,0.00,0.00,0,0,1,4,90,0,130,2,1/32,65.00,8.66,45.0,0,0,0,0
750,Muhammad Jawadullah,2024-2024,5,1,1,13,13*,0.00,118.18,0,0,0,5,113,0,154,10,3/33,15.40,8.17,11.3,0,0,2,0
